strategy,document,num_chunks,avg_size,min_size,max_size,std_size,boundary_coherence,chunks_with_pii,pii_types_found
fixed,Witty-QuickGuide-EN.pdf,7,357,115,468,154,0.0,2,"['email', 'phone']"
fixed,Witty-Financial-Report-2025.pdf,6,456,396,492,38,0.333,3,"['monetary_value', 'swift_code']"
fixed,distribution-contract-2026.docx,3,356,310,411,51,0.667,2,"['iban', 'person_name_context', 'phone', 'swift_code']"
fixed,server_logs_witty_backend.txt,2,374,286,462,124,1.0,2,"['ip_address', 'password', 'swift_code']"
fixed,clients-and-billings.xlsx,2,267,101,433,235,0.0,2,"['client_id', 'email', 'person_name_context']"
structural,Witty-QuickGuide-EN.pdf,2,1124,505,1743,875,0.0,1,"['email', 'phone']"
structural,Witty-Financial-Report-2025.pdf,5,488,215,851,254,0.8,3,"['monetary_value', 'swift_code']"
structural,distribution-contract-2026.docx,4,264,185,336,71,1.0,2,"['iban', 'person_name_context', 'phone', 'swift_code']"
structural,server_logs_witty_backend.txt,6,108,81,146,25,0.833,4,"['ip_address', 'password', 'swift_code']"
structural,clients-and-billings.xlsx,1,538,538,538,0,0.0,1,"['client_id', 'email', 'person_name_context']"
semantic,Witty-QuickGuide-EN.pdf,25,88,15,197,50,0.28,2,"['email', 'phone']"
semantic,Witty-Financial-Report-2025.pdf,29,82,11,180,40,0.517,3,"['monetary_value', 'swift_code']"
semantic,distribution-contract-2026.docx,8,132,18,336,109,1.0,3,"['iban', 'person_name_context', 'phone', 'swift_code']"
semantic,server_logs_witty_backend.txt,9,72,45,89,13,0.889,4,"['ip_address', 'password', 'swift_code']"
semantic,clients-and-billings.xlsx,3,175,13,305,149,0.0,2,"['client_id', 'email', 'person_name_context']"
custom_rbac,Witty-QuickGuide-EN.pdf,3,748,17,1743,893,0.0,2,"['email', 'phone']"
custom_rbac,Witty-Financial-Report-2025.pdf,5,488,215,851,254,0.8,3,"['monetary_value', 'swift_code']"
custom_rbac,distribution-contract-2026.docx,7,153,15,254,99,0.571,4,"['iban', 'person_name_context', 'phone', 'swift_code']"
custom_rbac,server_logs_witty_backend.txt,8,81,21,146,42,0.625,4,"['ip_address', 'password', 'swift_code']"
custom_rbac,clients-and-billings.xlsx,10,84,10,104,35,0.0,9,"['client_id', 'email', 'person_name_context']"
