query_id,mode,alpha,intent,latency_ms,breaches,pii_leaked,first_relevant_rank,mrr,relevant_top3,relevant_top5,security
Q1,baseline,0.5,static,12.77,4,-,1,1.0,1,1,FAIL
Q1,dynamic,0.8,conceptual,10.36,3,-,1,1.0,1,2,FAIL
Q2,baseline,0.5,static,9.48,3,ip_address,1,1.0,1,1,FAIL
Q2,dynamic,0.8,conceptual,8.95,3,ip_address,1,1.0,1,1,FAIL
Q3,baseline,0.5,static,9.92,4,"client_id, email, password",1,1.0,2,2,FAIL
Q3,dynamic,0.65,mixed_conceptual_lean,9.5,4,"client_id, email, password",2,0.5,2,2,FAIL
Q4,baseline,0.5,static,10.43,5,"client_id, email, iban, ip_address, swift_code",1,1.0,1,1,FAIL
Q4,dynamic,0.2,exact,9.33,4,"iban, swift_code",1,1.0,1,1,FAIL
Q5,baseline,0.5,static,10.77,5,"client_id, email",1,1.0,3,3,FAIL
Q5,dynamic,0.2,exact,12.65,5,"client_id, email",1,1.0,3,3,FAIL
Q6,baseline,0.5,static,10.15,3,-,1,1.0,3,3,FAIL
Q6,dynamic,0.8,conceptual,9.88,4,-,1,1.0,3,4,FAIL
Q7,baseline,0.5,static,9.47,5,"client_id, email, ip_address",1,1.0,3,3,FAIL
Q7,dynamic,0.2,exact,11.52,4,ip_address,1,1.0,3,3,FAIL
Q8,baseline,0.5,static,13.7,1,"client_id, email",1,1.0,3,3,FAIL
Q8,dynamic,0.8,conceptual,10.15,1,"client_id, email",2,0.5,2,3,FAIL
