Query,Intent,Alpha,MRR_base,MRR_dyn,dMRR,dR@3,dR@5,dBreach
Q1,conceptual,0.8,1.0,1.0,=,=,+1,-1
Q2,conceptual,0.8,1.0,0.5,-0.5000,=,=,=
Q3,exact_critical,0.2,1.0,1.0,=,=,=,-1
Q4,exact_critical,0.2,1.0,1.0,=,=,=,-1
Q5,exact,0.2,1.0,1.0,=,=,-1,=
Q6,conceptual,0.8,1.0,1.0,=,=,+1,+1
Q7,exact,0.2,1.0,1.0,=,=,=,-1
Q8,conceptual,0.8,1.0,0.5,-0.5000,-1,=,=
Q9,conceptual,0.8,0.5,0.5,=,=,=,+1
Q10,conceptual,0.8,1.0,1.0,=,=,=,+1
Q11,exact,0.2,1.0,1.0,=,=,=,=
Q12,exact_critical,0.2,1.0,1.0,=,=,=,=
Q13,conceptual,0.8,0.0,0.0,=,=,=,=
Q14,exact_critical,0.2,1.0,1.0,=,=,=,=
